CERT,label,NAME,CITY,PSTALP,fail_date,QBFASSET,region,size_bucket,n_filings
14228,Hartford-Carlisle Sb (IA 2000),HARTFORD-CARLISLE SB,CARLISLE,IA,2000-01-14,105044,Midwest,$100M to $1B,19
27886,Mutual Federal Savings Bank of Atlanta (GA 2000),MUTUAL FEDERAL SAVINGS BANK OF ATLANTA,ATLANTA,GA,2000-03-10,31479,South,Under $100M,20
25056,Monument National Bank (CA 2000),MONUMENT NATIONAL BANK,RIDGECREST,CA,2000-06-02,7923,West,Under $100M,20
10985,Town & Country Bank of Almelund (MN 2000),TOWN & COUNTRY BANK OF ALMELUND,ALMELUND,MN,2000-07-14,25942,Midwest,Under $100M,20
338,Bank of Falkner (MS 2000),BANK OF FALKNER,FALKNER,MS,2000-09-29,85485,South,Under $100M,20
21029,Bank of Honolulu (HI 2000),BANK OF HONOLULU,HONOLULU,HI,2000-10-13,63890,West,Under $100M,19
3815,National State Bank of Metropolis (IL 2000),NATIONAL STATE BANK OF METROPOLIS,METROPOLIS,IL,2000-12-14,90397,Midwest,Under $100M,20
34264,First Alliance Bank and Trust Co (NH 2001),FIRST ALLIANCE BANK AND TRUST CO,MANCHESTER,NH,2001-02-02,17438,Northeast,Under $100M,15
6629,Malta National Bank (OH 2001),MALTA NATIONAL BANK,MALTA,OH,2001-05-03,9075,Midwest,Under $100M,20
32646,"Superior Bank, Fsb (IL 2001)","SUPERIOR BANK, FSB",HINSDALE,IL,2001-07-27,1765455,Midwest,$1B to $10B,20
34248,Sinclair National Bank (AR 2001),SINCLAIR NATIONAL BANK,GRAVETTE,AR,2001-09-07,29792,South,Under $100M,19
24382,"Hamilton Bank, National Association (FL 2002)","HAMILTON BANK, NATIONAL ASSOCIATION",MIAMI,FL,2002-01-11,1409496,South,$1B to $10B,19
22002,Bank of Sierra Blanca (TX 2002),BANK OF SIERRA BLANCA,SIERRA BLANCA,TX,2002-01-18,10764,South,Under $100M,19
8966,Oakwood Deposit Bank (OH 2002),OAKWOOD DEPOSIT BANK,OAKWOOD,OH,2002-02-01,72267,Midwest,Under $100M,20
22314,Nextbank (AZ 2002),NEXTBANK,PHOENIX,AZ,2002-02-07,700180,West,$100M to $1B,20
26652,Net First National Bank (FL 2002),NET FIRST NATIONAL BANK,BOCA RATON,FL,2002-03-01,37207,South,Under $100M,20
34979,New Century Bank (MI 2002),NEW CENTURY BANK,SHELBY TOWNSHIP,MI,2002-03-28,21091,Midwest,Under $100M,10
19183,Connecticut Bank of Commerce (CT 2002),CONNECTICUT BANK OF COMMERCE,STAMFORD,CT,2002-06-26,384172,Northeast,$100M to $1B,20
29355,Universal Fsb (IL 2002),UNIVERSAL FSB,CHICAGO,IL,2002-06-27,51628,Midwest,Under $100M,20
33784,Amtrade International Bank of Georgia (GA 2002),AMTRADE INTERNATIONAL BANK OF GEORGIA,ATLANTA,GA,2002-09-30,92144,South,Under $100M,20
9961,Bank of Alamo (TN 2002),BANK OF ALAMO,ALAMO,TN,2002-11-08,58454,South,Under $100M,20
16445,The Farmers Bank & Trust of Cheneyville (LA 2002),THE FARMERS BANK & TRUST OF CHENEYVILLE,CHENEYVILLE,LA,2002-12-17,35317,South,Under $100M,20
27094,Southern Pacific Bank (CA 2003),SOUTHERN PACIFIC BANK,TORRANCE,CA,2003-02-07,904294,West,$100M to $1B,20
11639,The First National Bank of Blanchardville (WI 2003),THE FIRST NATIONAL BANK OF BLANCHARDVILLE,BLANCHARDVILLE,WI,2003-05-09,34536,Midwest,Under $100M,20
27203,Pulaski Savings Bank (PA 2003),PULASKI SAVINGS BANK,PHILADELPHIA,PA,2003-11-14,8487,Northeast,Under $100M,20
31330,Dollar Savings Bank (NJ 2004),DOLLAR SAVINGS BANK,NEWARK,NJ,2004-02-14,13408,Northeast,Under $100M,20
26838,Guaranty National Bank (FL 2004),GUARANTY NATIONAL BANK,TALLAHASSEE,FL,2004-03-12,71280,South,Under $100M,20
26778,Reliance Bank (NY 2004),RELIANCE BANK,WHITE PLAINS,NY,2004-03-19,28637,Northeast,Under $100M,20
1249,Bank of Ephraim (UT 2004),BANK OF EPHRAIM,EPHRAIM,UT,2004-06-25,56774,West,Under $100M,20
35353,Metropolitan Savings Bank (PA 2007),METROPOLITAN SAVINGS BANK,PITTSBURGH,PA,2007-02-02,15760,Northeast,Under $100M,19
32575,Netbank (GA 2007),NETBANK,ALPHARETTA,GA,2007-09-28,2473806,South,$1B to $10B,20
16848,Miami Valley Bank (OH 2007),MIAMI VALLEY BANK,LAKEVIEW,OH,2007-10-04,125362,Midwest,$100M to $1B,19
24660,Douglass National Bank (MO 2008),DOUGLASS NATIONAL BANK,KANSAS CITY,MO,2008-01-25,52824,Midwest,Under $100M,20
1971,Hume Bank (MO 2008),HUME BANK,HUME,MO,2008-03-07,18682,Midwest,Under $100M,20
33901,Anb Financial National Association (AR 2008),ANB FINANCIAL NATIONAL ASSOCIATION,BENTONVILLE,AR,2008-05-09,1895545,South,$1B to $10B,20
12736,"First Integrity Bank, N.a. (MN 2008)","FIRST INTEGRITY BANK, N.A.",STAPLES,MN,2008-05-30,52916,Midwest,Under $100M,20
29730,Indymac Bank F.s.b (CA 2008),INDYMAC BANK F.S.B,PASADENA,CA,2008-07-11,30698512,West,Over $10B,20
57961,First Heritage Bank N.a. (CA 2008),FIRST HERITAGE BANK N.A.,NEWPORT BEACH,CA,2008-07-25,255376,West,$100M to $1B,14
27011,First National Bank of Nevada (NV 2008),FIRST NATIONAL BANK OF NEVADA,RENO,NV,2008-07-25,3411145,West,$1B to $10B,20
57523,First Priority Bank (FL 2008),FIRST PRIORITY BANK,BRADENTON,FL,2008-08-01,258610,South,$100M to $1B,19
22728,The Columbian Bank and Trust Company (KS 2008),THE COLUMBIAN BANK AND TRUST COMPANY,TOPEKA,KS,2008-08-22,735071,Midwest,$100M to $1B,20
35469,Integrity Bank (GA 2008),INTEGRITY BANK,ALPHARETTA,GA,2008-08-29,1107514,South,$1B to $10B,20
34194,Silver State Bank (NV 2008),SILVER STATE BANK,HENDERSON,NV,2008-09-05,1957120,West,$1B to $10B,20
6782,"Ameribank, Inc. (WV 2008)","AMERIBANK, INC.",NORTHFORK,WV,2008-09-19,103965,South,$100M to $1B,20
32633,Washington Mutual Bank (NV 2008),WASHINGTON MUTUAL BANK,HENDERSON,NV,2008-09-25,307021614,West,Over $10B,20
57654,Main Street Bank (MI 2008),MAIN STREET BANK,NORTHVILLE,MI,2008-10-10,112368,Midwest,$100M to $1B,18
13789,Meridian Bank (IL 2008),MERIDIAN BANK,ELDRED,IL,2008-10-10,38223,Midwest,Under $100M,20
58241,Alpha Bank & Trust (GA 2008),ALPHA BANK & TRUST,ALPHARETTA,GA,2008-10-24,354090,South,$100M to $1B,10
57930,Freedom Bank (FL 2008),FREEDOM BANK,BRADENTON,FL,2008-10-31,270842,South,$100M to $1B,14
26870,"Franklin Bank, Ssb (TX 2008)","FRANKLIN BANK, SSB",HOUSTON,TX,2008-11-07,5089260,South,$1B to $10B,20
23595,Security Pacific Bank (CA 2008),SECURITY PACIFIC BANK,SAN DIEGO,CA,2008-11-07,527959,West,$100M to $1B,20
30968,"Downey Savings and Loan Association, F.a. (CA 2008)","DOWNEY SAVINGS AND LOAN ASSOCIATION, F.A.",NEWPORT BEACH,CA,2008-11-21,12779371,West,Over $10B,20
28344,Pff Bank & Trust (CA 2008),PFF BANK & TRUST,POMONA,CA,2008-11-21,3715433,West,$1B to $10B,20
16490,The Community Bank (GA 2008),THE COMMUNITY BANK,LOGANVILLE,GA,2008-11-21,634901,South,$100M to $1B,20
34301,First Georgia Community Bank (GA 2008),FIRST GEORGIA COMMUNITY BANK,JACKSON,GA,2008-12-05,256371,South,$100M to $1B,20
35379,Haven Trust Bank (GA 2008),HAVEN TRUST BANK,DULUTH,GA,2008-12-12,559551,South,$100M to $1B,20
11568,Sanderson State Bank (TX 2008),SANDERSON STATE BANK,SANDERSON,TX,2008-12-12,38217,South,Under $100M,20
34959,Bank of Clark County (WA 2009),BANK OF CLARK COUNTY,VANCOUVER,WA,2009-01-16,441085,West,$100M to $1B,20
19733,National Bank of Commerce (IL 2009),NATIONAL BANK OF COMMERCE,BERKELEY,IL,2009-01-16,419741,Midwest,$100M to $1B,20
33025,1st Centennial Bank (CA 2009),1ST CENTENNIAL BANK,REDLANDS,CA,2009-01-23,797959,West,$100M to $1B,20
58001,Magnet Bank (UT 2009),MAGNET BANK,SALT LAKE CITY,UT,2009-01-30,300674,West,$100M to $1B,13
26538,Ocala National Bank (FL 2009),OCALA NATIONAL BANK,OCALA,FL,2009-01-30,219424,South,$100M to $1B,20
30763,Suburban Federal Savings Bank (MD 2009),SUBURBAN FEDERAL SAVINGS BANK,CROFTON,MD,2009-01-30,347408,South,$100M to $1B,20
23124,Alliance Bank (CA 2009),ALLIANCE BANK,CULVER CITY,CA,2009-02-06,1113361,West,$1B to $10B,20
22574,County Bank (CA 2009),COUNTY BANK,MERCED,CA,2009-02-06,1711552,West,$1B to $10B,20
57017,Firstbank Financial Services (GA 2009),FIRSTBANK FINANCIAL SERVICES,MCDONOUGH,GA,2009-02-06,317237,South,$100M to $1B,20
16500,Corn Belt Bank and Trust Company (IL 2009),CORN BELT BANK AND TRUST COMPANY,PITTSFIELD,IL,2009-02-13,260201,Midwest,$100M to $1B,20
57342,Pinnacle Bank (OR 2009),PINNACLE BANK,BEAVERTON,OR,2009-02-13,71921,West,Under $100M,20
34563,Riverside Bank of the Gulf Coast (FL 2009),RIVERSIDE BANK OF THE GULF COAST,CAPE CORAL,FL,2009-02-13,523673,South,$100M to $1B,20
5431,Sherman County Bank (NE 2009),SHERMAN COUNTY BANK,LOUP CITY,NE,2009-02-13,135431,Midwest,$100M to $1B,20
35399,Silver Falls Bank (OR 2009),SILVER FALLS BANK,SILVERTON,OR,2009-02-20,134206,West,$100M to $1B,20
20078,Heritage Community Bank (IL 2009),HERITAGE COMMUNITY BANK,GLENWOOD,IL,2009-02-27,235154,Midwest,$100M to $1B,20
34820,Security Savings Bank (NV 2009),SECURITY SAVINGS BANK,HENDERSON,NV,2009-02-27,238307,West,$100M to $1B,20
57558,Freedom Bank of Georgia (GA 2009),FREEDOM BANK OF GEORGIA,COMMERCE,GA,2009-03-06,172454,South,$100M to $1B,20
18896,Colorado National Bank (CO 2009),COLORADO NATIONAL BANK,COLORADO SPRINGS,CO,2009-03-20,123508,West,$100M to $1B,20
18243,Firstcity Bank (GA 2009),FIRSTCITY BANK,STOCKBRIDGE,GA,2009-03-20,285015,South,$100M to $1B,20
4754,"Teambank, N.a. (KS 2009)","TEAMBANK, N.A.",PAOLA,KS,2009-03-20,669830,Midwest,$100M to $1B,20
22238,Omni National Bank (GA 2009),OMNI NATIONAL BANK,ATLANTA,GA,2009-03-27,979585,South,$100M to $1B,20
34639,Cape Fear Bank (NC 2009),CAPE FEAR BANK,WILMINGTON,NC,2009-04-10,492418,South,$100M to $1B,20
34881,New Frontier Bank (CO 2009),NEW FRONTIER BANK,GREELEY,CO,2009-04-10,1774588,West,$1B to $10B,20
8266,American Sterling Bank (MO 2009),AMERICAN STERLING BANK,SUGAR CREEK,MO,2009-04-17,166456,Midwest,$100M to $1B,20
33824,Great Basin Bank of Nevada (NV 2009),GREAT BASIN BANK OF NEVADA,ELKO,NV,2009-04-17,238940,West,$100M to $1B,20
57943,American Southern Bank (GA 2009),AMERICAN SOUTHERN BANK,KENNESAW,GA,2009-04-24,105950,South,$100M to $1B,15
32069,First Bank of Beverly Hills (CA 2009),FIRST BANK OF BEVERLY HILLS,CALABASAS,CA,2009-04-24,1260354,West,$1B to $10B,20
34396,"First Bank of Idaho, Fsb (ID 2009)","FIRST BANK OF IDAHO, FSB",KETCHUM,ID,2009-04-24,490656,West,$100M to $1B,20
34369,Michigan Heritage Bank (MI 2009),MICHIGAN HERITAGE BANK,FARMINGTON HILLS,MI,2009-04-24,167710,Midwest,$100M to $1B,20
35461,America West Bank (UT 2009),AMERICA WEST BANK,LAYTON,UT,2009-05-01,281564,West,$100M to $1B,20
57563,Citizens Community Bank (NJ 2009),CITIZENS COMMUNITY BANK,RIDGEWOOD,NJ,2009-05-01,40657,Northeast,Under $100M,18
26535,"Silverton Bank, National Association (GA 2009)","SILVERTON BANK, NATIONAL ASSOCIATION",ATLANTA,GA,2009-05-01,4157246,South,$1B to $10B,20
34843,Westsound Bank (WA 2009),WESTSOUND BANK,BREMERTON,WA,2009-05-08,334608,West,$100M to $1B,20
32247,"Bankunited, Fsb (FL 2009)","BANKUNITED, FSB",CORAL GABLES,FL,2009-05-21,13111463,South,Over $10B,20
5757,Citizens National Bank (IL 2009),CITIZENS NATIONAL BANK,MACOMB,IL,2009-05-22,438560,Midwest,$100M to $1B,20
35175,Strategic Capital Bank (IL 2009),STRATEGIC CAPITAL BANK,CHAMPAIGN,IL,2009-05-22,546576,Midwest,$100M to $1B,20
17309,Bank of Lincolnwood (IL 2009),BANK OF LINCOLNWOOD,LINCOLNWOOD,IL,2009-06-05,212718,Midwest,$100M to $1B,20
27837,Cooperative Bank (NC 2009),COOPERATIVE BANK,WILMINGTON,NC,2009-06-19,966778,South,$100M to $1B,20
4614,First National Bank of Anthony (KS 2009),FIRST NATIONAL BANK OF ANTHONY,ANTHONY,KS,2009-06-19,156954,Midwest,$100M to $1B,20
35251,Southern Community Bank (GA 2009),SOUTHERN COMMUNITY BANK,FAYETTEVILLE,GA,2009-06-19,371695,South,$100M to $1B,20
57436,Community Bank of West Georgia (GA 2009),COMMUNITY BANK OF WEST GEORGIA,VILLA RICA,GA,2009-06-26,201222,South,$100M to $1B,20
9744,Horizon Bank (MN 2009),HORIZON BANK,PINE CITY,MN,2009-06-26,84763,Midwest,Under $100M,20
57893,Metropacific Bank (CA 2009),METROPACIFIC BANK,IRVINE,CA,2009-06-26,75316,West,Under $100M,17
57332,Mirae Bank (CA 2009),MIRAE BANK,LOS ANGELES,CA,2009-06-26,480619,West,$100M to $1B,20
35285,Neighborhood Community Bank (GA 2009),NEIGHBORHOOD COMMUNITY BANK,NEWNAN,GA,2009-06-26,212616,South,$100M to $1B,20
18390,Founders Bank (IL 2009),FOUNDERS BANK,WORTH,IL,2009-07-02,889172,Midwest,$100M to $1B,20
57667,Millennium State Bank of Texas (TX 2009),MILLENNIUM STATE BANK OF TEXAS,DALLAS,TX,2009-07-02,118601,South,$100M to $1B,20
15302,Rock River Bank (IL 2009),ROCK RIVER BANK,OREGON,IL,2009-07-02,74808,Midwest,Under $100M,20
9262,The Elizabeth State Bank (IL 2009),THE ELIZABETH STATE BANK,ELIZABETH,IL,2009-07-02,55027,Midwest,Under $100M,20
3644,The First National Bank of Danville (IL 2009),THE FIRST NATIONAL BANK OF DANVILLE,DANVILLE,IL,2009-07-02,148218,Midwest,$100M to $1B,20
11710,The First State Bank of Winchester (IL 2009),THE FIRST STATE BANK OF WINCHESTER,WINCHESTER,IL,2009-07-02,30073,Midwest,Under $100M,20
12093,The John Warner Bank (IL 2009),THE JOHN WARNER BANK,CLINTON,IL,2009-07-02,69609,Midwest,Under $100M,20
22754,Bank of Wyoming (WY 2009),BANK OF WYOMING,THERMOPOLIS,WY,2009-07-10,70188,West,Under $100M,20
34103,Bankfirst (SD 2009),BANKFIRST,SIOUX FALLS,SD,2009-07-17,210844,Midwest,$100M to $1B,20
34594,First Piedmont Bank (GA 2009),FIRST PIEDMONT BANK,WINDER,GA,2009-07-17,114113,South,$100M to $1B,20
34341,Temecula Valley Bank (CA 2009),TEMECULA VALLEY BANK,TEMECULA,CA,2009-07-17,1396622,West,$1B to $10B,20
23556,"Vineyard Bank, National Association (CA 2009)","VINEYARD BANK, NATIONAL ASSOCIATION",RANCHO CUCAMONGA,CA,2009-07-17,1638378,West,$1B to $10B,20
27367,Security Bank of Bibb County (GA 2009),SECURITY BANK OF BIBB COUNTY,MACON,GA,2009-07-24,943744,South,$100M to $1B,20
57346,Security Bank of Gwinnett County (GA 2009),SECURITY BANK OF GWINNETT COUNTY,SUWANNEE,GA,2009-07-24,259182,South,$100M to $1B,20
27048,Security Bank of Houston County (GA 2009),SECURITY BANK OF HOUSTON COUNTY,PERRY,GA,2009-07-24,371624,South,$100M to $1B,20
8486,Security Bank of Jones County (GA 2009),SECURITY BANK OF JONES COUNTY,GRAY,GA,2009-07-24,432712,South,$100M to $1B,20
57430,Security Bank of North Fulton (GA 2009),SECURITY BANK OF NORTH FULTON,ALPHARETTA,GA,2009-07-24,190564,South,$100M to $1B,20
57105,Security Bank of North Metro (GA 2009),SECURITY BANK OF NORTH METRO,WOODSTOCK,GA,2009-07-24,184184,South,$100M to $1B,20
58065,Waterford Village Bank (NY 2009),WATERFORD VILLAGE BANK,WILLIAMSVILLE,NY,2009-07-24,55707,Northeast,Under $100M,10
34270,First Bankamericano (NJ 2009),FIRST BANKAMERICANO,ELIZABTH,NJ,2009-07-31,163372,Northeast,$100M to $1B,20
9873,First State Bank of Altus (OK 2009),FIRST STATE BANK OF ALTUS,ALTUS,OK,2009-07-31,90867,South,Under $100M,20
57604,Integrity Bank (FL 2009),INTEGRITY BANK,JUPITER,FL,2009-07-31,105298,South,$100M to $1B,20
18659,Mutual Bank (IL 2009),MUTUAL BANK,HARVEY,IL,2009-07-31,1595657,Midwest,$1B to $10B,20
32288,Peoples Community Bank (OH 2009),PEOPLES COMMUNITY BANK,WEST CHESTER,OH,2009-07-31,606153,Midwest,$100M to $1B,20
23268,Community First Bank (OR 2009),COMMUNITY FIRST BANK,PRINEVILLE,OR,2009-08-07,199508,West,$100M to $1B,20
27183,Community National Bank of Sarasota County (FL 2009),COMMUNITY NATIONAL BANK OF SARASOTA COUNTY,VENICE,FL,2009-08-07,92528,South,Under $100M,20
27364,First State Bank (FL 2009),FIRST STATE BANK,SARASOTA,FL,2009-08-07,447667,South,$100M to $1B,20
9609,Colonial Bank (AL 2009),COLONIAL BANK,MONTGOMERY,AL,2009-08-14,25455112,South,Over $10B,20
57645,Community Bank of Arizona (AZ 2009),COMMUNITY BANK OF ARIZONA,PHOENIX,AZ,2009-08-14,158517,West,$100M to $1B,20
34043,Community Bank of Nevada (NV 2009),COMMUNITY BANK OF NEVADA,LAS VEGAS,NV,2009-08-14,1397798,West,$1B to $10B,20
31559,Dwelling House Savings and Loan (PA 2009),DWELLING HOUSE SAVINGS AND LOAN,PITTSBURGH,PA,2009-08-14,12947,Northeast,Under $100M,20
34485,"Union Bank, National Association (AZ 2009)","UNION BANK, NATIONAL ASSOCIATION",GILBERT,AZ,2009-08-14,119529,West,$100M to $1B,20
22130,Capitalsouth Bank (AL 2009),CAPITALSOUTH BANK,BIRMINGHAM,AL,2009-08-21,586586,South,$100M to $1B,20
34682,Ebank (GA 2009),EBANK,ATLANTA,GA,2009-08-21,144688,South,$100M to $1B,20
57702,First Coweta (GA 2009),FIRST COWETA,NEWNAN,GA,2009-08-21,163755,South,$100M to $1B,20
32618,Guaranty Bank (TX 2009),GUARANTY BANK,AUSTIN,TX,2009-08-21,13464352,South,Over $10B,20
27197,Affinity Bank (CA 2009),AFFINITY BANK,VENTURA,CA,2009-08-28,1211431,West,$1B to $10B,20
28312,Bradford Bank (MD 2009),BRADFORD BANK,BALTIMORE,MD,2009-08-28,451888,South,$100M to $1B,20
1909,Mainstreet Bank (MN 2009),MAINSTREET BANK,FOREST LAKE,MN,2009-08-28,458533,Midwest,$100M to $1B,20
25231,First Bank of Kansas City (MO 2009),FIRST BANK OF KANSAS CITY,KANSAS CITY,MO,2009-09-04,15723,Midwest,Under $100M,20
34875,First State Bank (AZ 2009),FIRST STATE BANK,FLAGSTAFF,AZ,2009-09-04,107235,West,$100M to $1B,20
20203,Inbank (IL 2009),INBANK,OAK FOREST,IL,2009-09-04,209848,Midwest,$100M to $1B,20
