CERT,label,NAME,CITY,PSTALP,fail_date,QBFASSET,region,size_bucket,n_filings
25172,Metro Bank of Dade County (FL 2010),METRO BANK OF DADE COUNTY,MIAMI,FL,2010-07-16,399441,South,$100M to $1B,20
28864,Olde Cypress Community Bank (FL 2010),OLDE CYPRESS COMMUNITY BANK,CLEWISTON,FL,2010-07-16,161355,South,$100M to $1B,20
32280,Turnberry Bank (FL 2010),TURNBERRY BANK,AVENTURA,FL,2010-07-16,240251,South,$100M to $1B,20
32571,Woodlands Bank (SC 2010),WOODLANDS BANK,BLUFFTON,SC,2010-07-16,382803,South,$100M to $1B,20
34486,Community Security Bank (MN 2010),COMMUNITY SECURITY BANK,NEW PRAGUE,MN,2010-07-23,100649,Midwest,$100M to $1B,20
27559,Crescent Bank and Trust Company (GA 2010),CRESCENT BANK AND TRUST COMPANY,JASPER,GA,2010-07-23,970235,South,$100M to $1B,20
23181,Home Valley Bank (OR 2010),HOME VALLEY BANK,CAVE JUNCTION,OR,2010-07-23,250488,West,$100M to $1B,20
35434,Southwestusa Bank (NV 2010),SOUTHWESTUSA BANK,LAS VEGAS,NV,2010-07-23,203690,West,$100M to $1B,20
32536,Sterling Bank (FL 2010),STERLING BANK,LANTANA,FL,2010-07-23,354966,South,$100M to $1B,20
10506,Thunder Bank (KS 2010),THUNDER BANK,SYLVAN GROVE,KS,2010-07-23,28248,Midwest,Under $100M,20
17837,Williamsburg First National Bank (SC 2010),WILLIAMSBURG FIRST NATIONAL BANK,KINGSTREE,SC,2010-07-23,130411,South,$100M to $1B,20
57669,Bayside Savings Bank (FL 2010),BAYSIDE SAVINGS BANK,PORT SAINT JOE,FL,2010-07-30,64344,South,Under $100M,20
9619,Coastal Community Bank (FL 2010),COASTAL COMMUNITY BANK,PANAMA CITY BEACH,FL,2010-07-30,377469,South,$100M to $1B,20
31964,Libertybank (OR 2010),LIBERTYBANK,EUGENE,OR,2010-07-30,714574,West,$100M to $1B,20
57658,Northwest Bank & Trust (GA 2010),NORTHWEST BANK & TRUST,ACWORTH,GA,2010-07-30,160763,South,$100M to $1B,20
22643,The Cowlitz Bank (WA 2010),THE COWLITZ BANK,LONGVIEW,WA,2010-07-30,489019,West,$100M to $1B,20
34231,Ravenswood Bank (IL 2010),RAVENSWOOD BANK,CHICAGO,IL,2010-08-06,264628,Midwest,$100M to $1B,20
17599,Palos Bank and Trust Company (IL 2010),PALOS BANK AND TRUST COMPANY,PALOS HEIGHTS,IL,2010-08-13,493391,Midwest,$100M to $1B,20
33219,Butte Community Bank (CA 2010),BUTTE COMMUNITY BANK,CHICO,CA,2010-08-20,498751,West,$100M to $1B,20
25266,Community National Bank at Bartow (FL 2010),COMMUNITY NATIONAL BANK AT BARTOW,BARTOW,FL,2010-08-20,67918,South,Under $100M,20
31623,Imperial Savings and Loan Association (VA 2010),IMPERIAL SAVINGS AND LOAN ASSOCIATION,MARTINSVILLE,VA,2010-08-20,9448,South,Under $100M,20
27344,Independent National Bank (FL 2010),INDEPENDENT NATIONAL BANK,OCALA,FL,2010-08-20,156218,South,$100M to $1B,20
32165,Los Padres Bank (CA 2010),LOS PADRES BANK,SOLVANG,CA,2010-08-20,866459,West,$100M to $1B,20
27090,Pacific State Bank (CA 2010),PACIFIC STATE BANK,STOCKTON,CA,2010-08-20,312077,West,$100M to $1B,20
15640,Shorebank (IL 2010),SHOREBANK,CHICAGO,IL,2010-08-20,2166431,Midwest,$1B to $10B,20
27259,Sonoma Valley Bank (CA 2010),SONOMA VALLEY BANK,SONOMA,CA,2010-08-20,337113,West,$100M to $1B,20
35061,Horizon Bank (FL 2010),HORIZON BANK,BRADENTON,FL,2010-09-10,187819,South,$100M to $1B,20
27808,Bramble Savings Bank (OH 2010),BRAMBLE SAVINGS BANK,MILFORD,OH,2010-09-17,47523,Midwest,Under $100M,20
57448,First Commerce Community Bank (GA 2010),FIRST COMMERCE COMMUNITY BANK,DOUGLASVILLE,GA,2010-09-17,248151,South,$100M to $1B,20
57107,Isn Bank (NJ 2010),ISN BANK,CHERRY HILL,NJ,2010-09-17,81564,Northeast,Under $100M,20
28612,Maritime Savings Bank (WI 2010),MARITIME SAVINGS BANK,WEST ALLIS,WI,2010-09-17,350488,Midwest,$100M to $1B,20
58197,The Bank of Ellijay (GA 2010),THE BANK OF ELLIJAY,ELLIJAY,GA,2010-09-17,168820,South,$100M to $1B,17
182,The Peoples Bank (GA 2010),THE PEOPLES BANK,WINDER,GA,2010-09-17,447185,South,$100M to $1B,20
58308,Haven Trust Bank Florida (FL 2010),HAVEN TRUST BANK FLORIDA,PONTE VEDRA BEACH,FL,2010-09-24,148575,South,$100M to $1B,16
35053,North County Bank (WA 2010),NORTH COUNTY BANK,ARLINGTON,WA,2010-09-24,288776,West,$100M to $1B,20
35250,Shoreline Bank (WA 2010),SHORELINE BANK,SHORELINE,WA,2010-10-01,92980,West,Under $100M,20
21777,Wakulla Bank (FL 2010),WAKULLA BANK,CRAWFORDVILLE,FL,2010-10-01,402205,South,$100M to $1B,20
34016,Premier Bank (MO 2010),PREMIER BANK,JEFFERSON CITY,MO,2010-10-15,989382,Midwest,$100M to $1B,20
30898,"Security Savings Bank, F.s.b. (KS 2010)","SECURITY SAVINGS BANK, F.S.B.",OLATHE,KS,2010-10-15,453349,Midwest,$100M to $1B,20
58205,Westbridge Bank and Trust Company (MO 2010),WESTBRIDGE BANK AND TRUST COMPANY,CHESTERFIELD,MO,2010-10-15,87782,Midwest,Under $100M,19
32582,"First Arizona Savings, a Fsb (AZ 2010)","FIRST ARIZONA SAVINGS, A FSB",SCOTTSDALE,AZ,2010-10-22,255920,West,$100M to $1B,20
27573,First Bank of Jacksonville (FL 2010),FIRST BANK OF JACKSONVILLE,JACKSONVILLE,FL,2010-10-22,73922,South,Under $100M,20
16089,First Suburban National Bank (IL 2010),FIRST SUBURBAN NATIONAL BANK,MAYWOOD,IL,2010-10-22,143451,Midwest,$100M to $1B,20
22173,Hillcrest Bank (KS 2010),HILLCREST BANK,OVERLAND PARK,KS,2010-10-22,1583611,Midwest,$1B to $10B,20
32251,Progress Bank of Florida (FL 2010),PROGRESS BANK OF FLORIDA,TAMPA,FL,2010-10-22,94823,South,Under $100M,20
2119,The First National Bank of Barnesville (GA 2010),THE FIRST NATIONAL BANK OF BARNESVILLE,BARNESVILLE,GA,2010-10-22,126622,South,$100M to $1B,20
33904,The Gordon Bank (GA 2010),THE GORDON BANK,GORDON,GA,2010-10-22,29259,South,Under $100M,20
57885,First Vietnamese American Bank (CA 2010),FIRST VIETNAMESE AMERICAN BANK,WESTMINSTER,CA,2010-11-05,48000,West,Under $100M,20
31263,k Bank (MD 2010),K BANK,RANDALLSTOWN,MD,2010-11-05,538258,South,$100M to $1B,20
34411,Pierce Commercial Bank (WA 2010),PIERCE COMMERCIAL BANK,TACOMA,WA,2010-11-05,221082,West,$100M to $1B,20
58087,Western Commercial Bank (CA 2010),WESTERN COMMERCIAL BANK,WOODLAND HILLS,CA,2010-11-05,98635,West,Under $100M,19
35463,Copper Star Bank (AZ 2010),COPPER STAR BANK,SCOTTSDALE,AZ,2010-11-12,203955,West,$100M to $1B,20
14580,Darby Bank & Trust Company (GA 2010),DARBY BANK & TRUST COMPANY,VIDALIA,GA,2010-11-12,654714,South,$100M to $1B,20
57831,Tifton Banking Company (GA 2010),TIFTON BANKING COMPANY,TIFTON,GA,2010-11-12,143729,South,$100M to $1B,20
35078,Allegiance Bank of North America (PA 2010),ALLEGIANCE BANK OF NORTH AMERICA,BALA CYNWYD,PA,2010-11-19,106595,Northeast,$100M to $1B,20
5287,First Banking Center (WI 2010),FIRST BANKING CENTER,BURLINGTON,WI,2010-11-19,750724,Midwest,$100M to $1B,20
20340,Gulf State Community Bank (FL 2010),GULF STATE COMMUNITY BANK,CARRABELLE,FL,2010-11-19,112144,South,$100M to $1B,20
35561,Earthstar Bank (PA 2010),EARTHSTAR BANK,SOUTHAMPTON,PA,2010-12-10,112643,Northeast,$100M to $1B,20
34673,Paramount Bank (MI 2010),PARAMOUNT BANK,FARMINGTON HILLS,MI,2010-12-10,252744,Midwest,$100M to $1B,20
58495,"Appalacian Community Bank, F.s.b. (GA 2010)","APPALACIAN COMMUNITY BANK, F.S.B.",MCCAYSVILLE,GA,2010-12-17,68201,South,Under $100M,14
34578,Chestatee State Bank (GA 2010),CHESTATEE STATE BANK,DAWSONVILLE,GA,2010-12-17,244376,South,$100M to $1B,20
23306,Community National Bank (MN 2010),COMMUNITY NATIONAL BANK,LINO LAKES,MN,2010-12-17,31569,Midwest,Under $100M,20
58052,First Southern Bank (AR 2010),FIRST SOUTHERN BANK,BATESVILLE,AR,2010-12-17,191764,South,$100M to $1B,20
19040,The Bank of Miami (FL 2010),THE BANK OF MIAMI,CORAL GABLES,FL,2010-12-17,448150,South,$100M to $1B,20
35065,United Americas Bank (GA 2010),UNITED AMERICAS BANK,ATLANTA,GA,2010-12-17,242339,South,$100M to $1B,20
34965,First Commercial Bank of Florida (FL 2011),FIRST COMMERCIAL BANK OF FLORIDA,ORLANDO,FL,2011-01-07,578638,South,$100M to $1B,20
57820,Legacy Bank (AZ 2011),LEGACY BANK,SCOTTSDALE,AZ,2011-01-07,136446,West,$100M to $1B,20
57440,Oglethorpe Bank (GA 2011),OGLETHORPE BANK,BRUNSWICK,GA,2011-01-14,211149,South,$100M to $1B,20
57868,Communitysouth Bank and Trust (SC 2011),COMMUNITYSOUTH BANK AND TRUST,EASLEY,SC,2011-01-21,340986,South,$100M to $1B,20
19758,Enterprise Banking Company (GA 2011),ENTERPRISE BANKING COMPANY,MCDONOUGH,GA,2011-01-21,99461,South,Under $100M,20
34516,The Bank of Asheville (NC 2011),THE BANK OF ASHEVILLE,ASHEVILLE,NC,2011-01-21,204925,South,$100M to $1B,20
31293,United Western Bank (CO 2011),UNITED WESTERN BANK,DENVER,CO,2011-01-21,2153690,West,$1B to $10B,20
5328,Evergreen State Bank (WI 2011),EVERGREEN STATE BANK,STOUGHTON,WI,2011-01-28,240949,Midwest,$100M to $1B,20
12261,First Community Bank (NM 2011),FIRST COMMUNITY BANK,TAOS,NM,2011-01-28,2188154,West,$1B to $10B,20
57646,Firstier Bank (CO 2011),FIRSTIER BANK,LOUISVILLE,CO,2011-01-28,764090,West,$100M to $1B,20
2303,The First State Bank (OK 2011),THE FIRST STATE BANK,CAMARGO,OK,2011-01-28,44546,South,Under $100M,20
57432,American Trust Bank (GA 2011),AMERICAN TRUST BANK,ROSWELL,GA,2011-02-04,238205,South,$100M to $1B,20
57948,Community First Bank - Chicago (IL 2011),COMMUNITY FIRST BANK - CHICAGO,CHICAGO,IL,2011-02-04,51083,Midwest,Under $100M,20
35242,North Georgia Bank (GA 2011),NORTH GEORGIA BANK,WATKINSVILLE,GA,2011-02-04,153172,South,$100M to $1B,20
13272,Badger State Bank (WI 2011),BADGER STATE BANK,CASSVILLE,WI,2011-02-11,83828,Midwest,Under $100M,20
34692,Canyon National Bank (CA 2011),CANYON NATIONAL BANK,PALM SPRINGS,CA,2011-02-11,210859,West,$100M to $1B,20
14939,Peoples State Bank (MI 2011),PEOPLES STATE BANK,HAMTRAMCK,MI,2011-02-11,390524,Midwest,$100M to $1B,20
35478,Sunshine State Community Bank (FL 2011),SUNSHINE STATE COMMUNITY BANK,PORT ORANGE,FL,2011-02-11,125531,South,$100M to $1B,20
57855,Charter Oak Bank (CA 2011),CHARTER OAK BANK,NAPA,CA,2011-02-18,120833,West,$100M to $1B,20
34601,Citizens Bank of Effingham (GA 2011),CITIZENS BANK OF EFFINGHAM,SPRINGFIELD,GA,2011-02-18,214275,South,$100M to $1B,20
151,Habersham Bank (GA 2011),HABERSHAM BANK,CLARKESVILLE,GA,2011-02-18,387681,South,$100M to $1B,20
34783,"San Luis Trust Bank, Fsb (CA 2011)","SAN LUIS TRUST BANK, FSB",SAN LUIS OBISPO,CA,2011-02-18,332596,West,$100M to $1B,20
34187,Valley Community Bank (IL 2011),VALLEY COMMUNITY BANK,ST. CHARLES,IL,2011-02-25,123774,Midwest,$100M to $1B,20
34818,Legacy Bank (WI 2011),LEGACY BANK,MILWAUKEE,WI,2011-03-11,190418,Midwest,$100M to $1B,20
4077,The First National Bank of Davis (OK 2011),THE FIRST NATIONAL BANK OF DAVIS,DAVIS,OK,2011-03-11,90183,South,Under $100M,20
34292,The Bank of Commerce (IL 2011),THE BANK OF COMMERCE,WOOD DALE,IL,2011-03-25,163074,Midwest,$100M to $1B,20
35418,Nevada Commerce Bank (NV 2011),NEVADA COMMERCE BANK,LAS VEGAS,NV,2011-04-08,135064,West,$100M to $1B,20
10086,Western Springs National Bank and Trust (IL 2011),WESTERN SPRINGS NATIONAL BANK AND TRUST,WESTERN SPRINGS,IL,2011-04-08,186677,Midwest,$100M to $1B,20
21495,Bartow County Bank (GA 2011),BARTOW COUNTY BANK,CARTERSVILLE,GA,2011-04-15,314019,South,$100M to $1B,20
14273,Heritage Banking Group (MS 2011),HERITAGE BANKING GROUP,CARTHAGE,MS,2011-04-15,228328,South,$100M to $1B,20
57705,New Horizons Bank (GA 2011),NEW HORIZONS BANK,EAST ELLIJAY,GA,2011-04-15,103055,South,$100M to $1B,20
19794,Nexity Bank (AL 2011),NEXITY BANK,BIRMINGHAM,AL,2011-04-15,757574,South,$100M to $1B,20
24099,Rosemount National Bank (MN 2011),ROSEMOUNT NATIONAL BANK,ROSEMOUNT,MN,2011-04-15,21454,Midwest,Under $100M,20
17750,Superior Bank (AL 2011),SUPERIOR BANK,BIRMINGHAM,AL,2011-04-15,2977290,South,$1B to $10B,20
34234,Community Central Bank (MI 2011),COMMUNITY CENTRAL BANK,MOUNT CLEMENS,MI,2011-04-29,451683,Midwest,$100M to $1B,20
57625,Cortez Community  Bank (FL 2011),CORTEZ COMMUNITY  BANK,BROOKSVILLE,FL,2011-04-29,66282,South,Under $100M,20
58539,First Choice Community Bank (GA 2011),FIRST CHOICE COMMUNITY BANK,DALLAS,GA,2011-04-29,291196,South,$100M to $1B,16
26297,First National Bank of Central Florida (FL 2011),FIRST NATIONAL BANK OF CENTRAL FLORIDA,WINTER PARK,FL,2011-04-29,342079,South,$100M to $1B,20
19797,The Park Avenue Bank (GA 2011),THE PARK AVENUE BANK,VALDOSTA,GA,2011-04-29,849409,South,$100M to $1B,20
34898,Coastal Bank (FL 2011),COASTAL BANK,COCOA BEACH,FL,2011-05-06,129429,South,$100M to $1B,20
57213,Atlantic Southern Bank (GA 2011),ATLANTIC SOUTHERN BANK,MACON,GA,2011-05-20,741855,South,$100M to $1B,20
57647,First Georgia Banking Company (GA 2011),FIRST GEORGIA BANKING COMPANY,FRANKLIN,GA,2011-05-20,730981,South,$100M to $1B,20
513,Summit Bank (WA 2011),SUMMIT BANK,BURLINGTON,WA,2011-05-20,142729,West,$100M to $1B,20
23626,First Heritage Bank (WA 2011),FIRST HERITAGE BANK,SNOHOMISH,WA,2011-05-27,173478,West,$100M to $1B,20
58420,Atlantic Bank and Trust (SC 2011),ATLANTIC BANK AND TRUST,CHARLESTON,SC,2011-06-03,208204,South,$100M to $1B,17
27583,First Commercial Bank of Tampa Bay (FL 2011),FIRST COMMERCIAL BANK OF TAMPA BAY,TAMPA,FL,2011-06-17,98624,South,Under $100M,20
19237,Mcintosh State Bank (GA 2011),MCINTOSH STATE BANK,JACKSON,GA,2011-06-17,339929,South,$100M to $1B,20
57593,Mountain Heritage Bank (GA 2011),MOUNTAIN HERITAGE BANK,CLAYTON,GA,2011-06-24,103716,South,$100M to $1B,20
34522,Colorado Capital Bank (CO 2011),COLORADO CAPITAL BANK,CASTLE ROCK,CO,2011-07-08,665806,West,$100M to $1B,20
27935,First Chicago Bank & Trust (IL 2011),FIRST CHICAGO BANK & TRUST,CHICAGO,IL,2011-07-08,896864,Midwest,$100M to $1B,20
57835,Signature  Bank (CO 2011),SIGNATURE  BANK,WINDSOR,CO,2011-07-08,62518,West,Under $100M,20
34870,First Peoples Bank (FL 2011),FIRST PEOPLES BANK,PORT SAINT LUCIE,FL,2011-07-15,225035,South,$100M to $1B,20
19554,High Trust Bank (GA 2011),HIGH TRUST BANK,STOCKBRIDGE,GA,2011-07-15,180340,South,$100M to $1B,20
58238,One Georgia Bank (GA 2011),ONE GEORGIA BANK,ATLANTA,GA,2011-07-15,177715,South,$100M to $1B,20
57442,Summit Bank (AZ 2011),SUMMIT BANK,PRESCOTT,AZ,2011-07-15,73066,West,Under $100M,20
2994,Bank of Choice (CO 2011),BANK OF CHOICE,GREELEY,CO,2011-07-22,954106,West,$100M to $1B,20
35244,Landmark Bank of Florida (FL 2011),LANDMARK BANK OF FLORIDA,SARASOTA,FL,2011-07-22,266482,South,$100M to $1B,20
58056,Southshore Community Bank (FL 2011),SOUTHSHORE COMMUNITY BANK,APOLLO BEACH,FL,2011-07-22,41252,South,Under $100M,20
58222,"Bankmeridian, N.a. (SC 2011)","BANKMERIDIAN, N.A.",COLUMBIA,SC,2011-07-29,232648,South,$100M to $1B,20
4392,Integra Bank National Association (IN 2011),INTEGRA BANK NATIONAL ASSOCIATION,EVANSVILLE,IN,2011-07-29,1994430,Midwest,$1B to $10B,20
58283,Virginia Business Bank (VA 2011),VIRGINIA BUSINESS BANK,RICHMOND,VA,2011-07-29,83493,South,Under $100M,20
22637,Bank of Shorewood (IL 2011),BANK OF SHOREWOOD,SHOREWOOD,IL,2011-08-05,110723,Midwest,$100M to $1B,20
22528,Bank of Whitman (WA 2011),BANK OF WHITMAN,COLFAX,WA,2011-08-05,548570,West,$100M to $1B,20
4744,The First National Bank of Olathe (KS 2011),THE FIRST NATIONAL BANK OF OLATHE,OLATHE,KS,2011-08-12,538091,Midwest,$100M to $1B,20
34130,Public Savings Bank (PA 2011),PUBLIC SAVINGS BANK,HUNTINGDON VALLEY,PA,2011-08-18,46818,Northeast,Under $100M,20
57212,First Choice Bank (IL 2011),FIRST CHOICE BANK,GENEVA,IL,2011-08-19,141016,Midwest,$100M to $1B,20
57239,First Southern National Bank (GA 2011),FIRST SOUTHERN NATIONAL BANK,STATESBORO,GA,2011-08-19,164599,South,$100M to $1B,20
35356,Lydian Private Bank (FL 2011),LYDIAN PRIVATE BANK,PALM BEACH,FL,2011-08-19,1700117,South,$1B to $10B,20
58226,Creekside Bank (GA 2011),CREEKSIDE BANK,WOODSTOCK,GA,2011-09-02,102338,South,$100M to $1B,20
58273,Patriot Bank of Georgia (GA 2011),PATRIOT BANK OF GEORGIA,CUMMING,GA,2011-09-02,150751,South,$100M to $1B,20
25155,The First National Bank of Florida (FL 2011),THE FIRST NATIONAL BANK OF FLORIDA,MILTON,FL,2011-09-09,296841,South,$100M to $1B,20
20408,Bank of the Commonwealth (VA 2011),BANK OF THE COMMONWEALTH,NORFOLK,VA,2011-09-23,985096,South,$100M to $1B,20
33983,Citizens Bank of Northern California (CA 2011),CITIZENS BANK OF NORTHERN CALIFORNIA,NEVADA CITY,CA,2011-09-23,288765,West,$100M to $1B,20
33513,First International Bank (TX 2011),FIRST INTERNATIONAL BANK,PLANO,TX,2011-09-30,239916,South,$100M to $1B,20
20115,Sun Security Bank (MO 2011),SUN SECURITY BANK,ELLINGTON,MO,2011-10-07,351492,Midwest,$100M to $1B,20
10216,The Riverbank (MN 2011),THE RIVERBANK,WYOMING,MN,2011-10-07,419723,Midwest,$100M to $1B,20
32347,"Blue Ridge Savings Bank, Inc. (NC 2011)","BLUE RIDGE SAVINGS BANK, INC.",ASHEVILLE,NC,2011-10-14,161430,South,$100M to $1B,20
35395,Country Bank (IL 2011),COUNTRY BANK,ALEDO,IL,2011-10-14,195034,Midwest,$100M to $1B,20
58046,First State Bank (NJ 2011),FIRST STATE BANK,CRANFORD,NJ,2011-10-14,191852,Northeast,$100M to $1B,20
57256,Piedmont Community Bank (GA 2011),PIEDMONT COMMUNITY BANK,GRAY,GA,2011-10-14,198993,South,$100M to $1B,20
